	YelpChi			        Amazon			        S-FFSD
	AUC	    F1	    AP	    AUC	    F1	    AP	    AUC	    F1	    AP
LR	0.8892	0.5799	0.5441	0.9796	0.8374	0.8486	0.8626	0.214	0.4042
MLP	0.8891	0.555	0.6575	0.9707	0.8224	0.866	0.966	0.8522	0.9357
KNN	0.5023	0.5531	0.3193	0.9204	0.9731	0.8329	0.552	0.5152	0.3681
SVM	0.7526	0.4602	0.4168	0.8813	0.8921	0.7553	0.8529	0.6191	0.7009
GBT	0.8992	0.5052	0.6866	0.982	0.8535	0.9019	0.8913	0.5909	0.7449
RGTAN				        0.9745	0.9193	0.891	0.8372	0.7464	0.6729
RGTAN-A				        0.8229	0.475	0.3335	0.8127	0.7373	0.6488
RGTAN-N				        0.9717	0.9171	0.8874	0.8101	0.722	0.6503
RGTAN-R				        0.9733	0.9245	0.8865	0.8123	0.7454	0.6527
RGTAN-AFF							                0.8397	0.7496	0.6818
